Site ID,Northing,Easting,Elevation,Latitude,Longitude,Avg. Lat,Avg. Lon
522_adcpN_float1,34602.229,712145.673,-0.434,34.05673781,-77.88936441,34.05673826,-77.88935683
522_adcpN_float2,34602.344,712147.073,-0.488,34.05673871,-77.88934924,,
522_adcpN_1,34601.539,712134.444,-0.44,34.05673273,-77.88948611,34.05673145,-77.88949171
522_adcpN_2,34601.244,712133.412,-0.405,34.05673017,-77.88949732,,
522_jfe13_frame1,34172.52,712510.393,0.092,34.05282763,-77.8854668,34.05282772,-77.8854669
522_jfe13_frame2,34172.541,712510.374,0.126,34.05282782,-77.885467,,
522_jfe13_frame3,34173.613,712510.861,0.16,34.05283743,-77.8854616,34.0528375,-77.88546154
522_jfe13_frame4,34173.628,712510.871,0.159,34.05283757,-77.88546149,,
522_jfe13,34173.064,712510.632,0.501,34.05283251,-77.88546414,34.05283256,-77.88546409
522_jfe13_1,34173.075,712510.642,0.485,34.05283261,-77.88546403,,
522_jfe12_frame1,34187.342,712513.452,-0.497,34.05296092,-77.88543187,34.05296092,-77.88543185
522_jfe12_frame2,34187.342,712513.455,-0.505,34.05296092,-77.88543183,,
522_jfe12_frame3,34187.475,712514.621,-0.565,34.052962,-77.88541919,34.05296201,-77.88541927
522_jfe12_frame4,34187.476,712514.606,-0.547,34.05296201,-77.88541935,,
522_jfe12,34187.385,712514.075,-0.219,34.05296125,-77.88542512,34.05296125,-77.88542512
522_jfe12_1,34187.387,712514.075,-0.22,34.05296126,-77.88542512,,
522_jfe11_frame1,33857.549,712300.358,-0.296,34.05000976,-77.88777956,34.05000977,-77.88777956
522_jfe11_frame2,33857.551,712300.357,-0.298,34.05000978,-77.88777957,,
522_jfe11_frame3,33858.656,712300.658,-0.307,34.05001971,-77.88777617,34.05001978,-77.8877762
522_jfe11_frame4,33858.673,712300.654,-0.305,34.05001986,-77.88777622,,
522_jfe11,33858.11,712300.567,0.018,34.05001479,-77.88777723,34.05001481,-77.88777717
522_jfe11_1,33858.117,712300.574,0.015,34.05001486,-77.88777715,,
522_jfe11_2,33858.11,712300.576,0.011,34.05001479,-77.88777713,,
522_jfe10_frame1,33888.608,712289.095,-0.126,34.05029086,-77.88789776,34.05029091,-77.88789777
522_jfe10_frame2,33888.62,712289.092,-0.131,34.05029097,-77.88789779,,
522_jfe10_frame3,33888.09,712290.128,-0.053,34.05028608,-77.88788663,34.05028606,-77.88788667
522_jfe10_frame4,33888.085,712290.122,-0.045,34.05028604,-77.8878867,,
522_jfe10_1,33888.302,712289.513,0.262,34.05028806,-77.88789327,34.050288,-77.88789331
522_jfe10_2,33888.289,712289.506,0.259,34.05028794,-77.88789334,,
522_adcpS_1,33489.394,712202.636,-0.102,34.04670113,-77.88888241,34.04669943,-77.88889331
522_adcpS_2,33488.996,712200.627,-0.231,34.04669774,-77.88890422,,
522_adcpS_float,33486.098,712209.147,-0.634,34.04667076,-77.88881231,34.04666154,-77.88881467
522_adcpS_float1,33485.168,712209.17,-0.625,34.04666237,-77.88881217,,
522_adcpS_float2,33483.952,712208.505,-0.625,34.04665148,-77.88881952,,
